Year,Make,Model,Price,DateSold
2015,PORSCHE,911,49500,2024-05-02
1983,PORSCHE,911,55100,2024-05-02
1980,PORSCHE,911,55000,2024-05-01
2024,PORSCHE,911,149950,2024-05-01
2013,PORSCHE,911,62000,2024-05-01
2006,PORSCHE,911,25000,2024-05-01
2002,PORSCHE,911,51600,2024-05-01
1967,PORSCHE,911,31500,2024-05-01
2010,PORSCHE,911,25100,2024-04-30
1974,PORSCHE,911,41834,2024-04-30
2012,PORSCHE,911,47000,2024-04-29
1984,PORSCHE,911,108997,2024-04-29
2019,PORSCHE,911,55777,2024-04-28
2005,PORSCHE,911,115500,2024-04-28
2017,PORSCHE,911,21322,2024-04-28
2003,PORSCHE,911,72999,2024-04-28
2018,PORSCHE,911,19600,2024-04-28
1975,PORSCHE,911,101099,2024-04-28
2018,PORSCHE,911,55000,2024-04-28
2018,PORSCHE,911,88888,2024-04-28
1995,PORSCHE,911,88888,2024-04-27
2012,PORSCHE,911,99900,2024-04-27
2002,PORSCHE,911,125300,2024-04-27
1986,PORSCHE,911,11550,2024-04-27
1988,PORSCHE,911,45000,2024-04-26
2013,PORSCHE,911,89900,2024-04-26
2005,PORSCHE,911,65000,2024-04-24
1979,PORSCHE,911,23600,2024-04-24
1987,PORSCHE,911,5100,2024-04-24
2005,PORSCHE,911,49500,2024-04-24
2001,PORSCHE,911,29900,2024-04-24
2001,PORSCHE,911,29900,2024-04-24
2014,PORSCHE,911,22000,2024-04-24
2013,PORSCHE,911,72000,2024-04-24
1996,PORSCHE,911,30000,2024-04-24
1990,PORSCHE,911,52000,2024-04-24
2001,PORSCHE,911,105800,2024-04-23
1999,PORSCHE,911,26900,2024-04-23
2015,PORSCHE,911,20100,2024-04-23
2008,PORSCHE,911,36700,2024-04-23
2017,PORSCHE,911,45600,2024-04-23
1996,PORSCHE,911,87500,2024-04-23
2017,PORSCHE,911,210000,2024-04-22
2003,PORSCHE,911,61500,2024-04-22
2003,PORSCHE,911,15100,2024-04-21
2022,PORSCHE,911,46000,2024-04-21
2005,PORSCHE,911,89999,2024-04-21
2019,PORSCHE,911,22200,2024-04-21
2006,PORSCHE,911,97000,2024-04-20
1972,PORSCHE,911,28879,2024-04-20
1997,PORSCHE,911,49500,2024-04-19
2004,PORSCHE,911,147500,2024-04-19
1995,PORSCHE,911,20999,2024-04-17
1984,PORSCHE,911,63500,2024-04-17
2003,PORSCHE,911,65000,2024-04-17
1984,PORSCHE,911,12600,2024-04-17
2015,PORSCHE,911,65000,2024-04-17
2000,PORSCHE,911,35655,2024-04-17
2010,PORSCHE,911,26995,2024-04-17
2003,PORSCHE,911,121400,2024-04-17
2004,PORSCHE,911,12600,2024-04-17
2013,PORSCHE,911,21200,2024-04-17
1996,PORSCHE,911,73995,2024-04-17
2017,PORSCHE,911,69900,2024-04-17
2001,PORSCHE,911,145000,2024-04-17
2000,PORSCHE,911,13000,2024-04-16
2003,PORSCHE,911,4350,2024-04-16
2005,PORSCHE,911,22000,2024-04-16
1995,PORSCHE,911,25900,2024-04-16
2016,PORSCHE,911,32500,2024-04-16
1999,PORSCHE,911,179942,2024-04-16
2011,PORSCHE,911,16100,2024-04-16
1971,PORSCHE,911,220000,2024-04-15
2012,PORSCHE,911,20000,2024-04-15
2004,PORSCHE,911,76911,2024-04-15
2000,PORSCHE,911,32900,2024-04-15
1999,PORSCHE,911,12500,2024-04-14
2007,PORSCHE,911,7200,2024-04-14
2000,PORSCHE,911,58997,2024-04-13
1971,PORSCHE,911,15999,2024-04-13
2007,PORSCHE,911,15000,2024-04-13
2006,PORSCHE,911,25999,2024-04-13
2014,PORSCHE,911,47800,2024-04-13
2002,PORSCHE,911,117000,2024-04-13
2003,PORSCHE,911,20100,2024-04-13
2000,PORSCHE,911,11600,2024-04-13
1999,PORSCHE,911,15999,2024-04-11
2007,PORSCHE,911,16500,2024-04-11
1981,PORSCHE,911,28500,2024-04-11
2017,PORSCHE,911,37100,2024-04-11
2019,PORSCHE,911,59200,2024-04-10
2003,PORSCHE,911,210000,2024-04-10
1984,PORSCHE,911,35096,2024-04-10
1979,PORSCHE,911,52911,2024-04-10
2004,PORSCHE,911,46000,2024-04-08
1986,PORSCHE,911,36800,2024-04-08
