Year,Make,Model,Price,DateSold
1983,PORSCHE,944,16500,2024-03-06
1986,PORSCHE,944,15500,2024-03-03
1980,PORSCHE,944,39944,2024-03-03
1987,PORSCHE,944,32900,2024-02-24
1986,PORSCHE,944,17999,2024-02-24
1996,PORSCHE,944,39944,2024-02-24
1984,PORSCHE,944,103750,2024-02-19
1987,PORSCHE,944,5000,2024-02-16
1984,PORSCHE,944,15500,2024-02-11
1985,PORSCHE,944,49200,2024-02-11
1988,PORSCHE,944,1224,2024-02-10
2020,PORSCHE,944,18944,2024-02-10
1987,PORSCHE,944,64500,2024-02-08
1987,PORSCHE,944,125000,2024-01-29
1989,PORSCHE,944,2000,2024-01-15
